order_id,customer_id,product_id,product_name,product_category,price,random_timestamp,customer_name,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
340,18,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-03-20T09:35:21.000-05:00,Rachel Evans,Germany,Munich,CozyCornerDecor.com,CODE000000000340,Y,SUCCESS
347,9,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-01-11T23:07:02.000-06:00,Ivy Clark,Australia,Melbourne,CozyCornerDecor.com,CODE000000000347,N,Network Error
357,16,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-08-24T07:47:11.000-05:00,Peter Adams,Australia,Perth,HomeHavenFurniture.com,CODE000000000357,Y,SUCCESS
376,5,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-07-20T15:20:55.000-05:00,Eva Garcia,Germany,Cologne,StyleNestFurniture.com,CODE000000000376,Y,SUCCESS
422,10,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-11-24T07:08:42.000-06:00,Jack Lewis,Australia,Perth,HomeHavenFurniture.com,CODE000000000422,N,Insufficient Funds
452,4,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-09-05T18:30:19.000-05:00,Daniel Brown,Australia,Melbourne,StyleNestFurniture.com,CODE000000000452,N,Network Error
482,2,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2020-02-25T10:16:37.000-06:00,Bob Smith,USA,Los Angeles,TimelessHomeStyles.com,CODE000000000482,Y,SUCCESS
571,12,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-12-05T03:02:06.000-06:00,Liam Walker,Australia,Adelaide,ChicSpaceFurnishings.com,CODE000000000571,N,Insufficient Funds
573,3,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-12-20T01:24:52.000-06:00,Catherine Lee,Canada,Toronto,CozyCornerDecor.com,CODE000000000573,N,Insufficient Funds
575,15,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-12-04T06:21:58.000-06:00,Olivia Scott,Canada,Calgary,HomeHavenFurniture.com,CODE000000000575,Y,SUCCESS
611,12,19,Shoe Storage Cabinet,Entryway Furniture,59.99,2021-02-16T04:15:06.000-06:00,Liam Walker,Australia,Adelaide,StyleNestFurniture.com,CODE000000000611,Y,SUCCESS
12,20,7,Wooden Coffee Table,Living Room Furniture,149.99,2021-06-26T19:05:00.000-05:00,Tina Rodriguez,USA,Chicago,CozyCornerDecor.com,CODE000000000012,Y,SUCCESS
23,19,7,Wooden Coffee Table,Living Room Furniture,149.99,2021-09-13T21:13:32.000-05:00,Sam Phillips,Canada,Montreal,HomeHavenFurniture.com,CODE000000000023,Y,SUCCESS
57,15,7,Wooden Coffee Table,Living Room Furniture,149.99,2020-03-06T07:31:06.000-06:00,Olivia Scott,Canada,Calgary,HomeHavenFurniture.com,CODE000000000057,Y,SUCCESS
68,15,7,Wooden Coffee Table,Living Room Furniture,149.99,2021-11-25T08:40:02.000-06:00,Olivia Scott,Canada,Calgary,HomeHavenFurniture.com,CODE000000000068,Y,SUCCESS
93,16,7,Wooden Coffee Table,Living Room Furniture,149.99,2020-11-23T22:31:08.000-06:00,Peter Adams,Australia,Perth,TimelessHomeStyles.com,CODE000000000093,N,Insufficient Funds
97,20,7,Wooden Coffee Table,Living Room Furniture,149.99,2021-10-06T20:46:52.000-05:00,Tina Rodriguez,USA,Chicago,StyleNestFurniture.com,CODE000000000097,N,Insufficient Funds
99,8,7,Wooden Coffee Table,Living Room Furniture,149.99,2021-07-03T15:42:44.000-05:00,Harry Martinez,Canada,Vancouver,ChicSpaceFurnishings.com,CODE000000000099,Y,SUCCESS
100,5,7,Wooden Coffee Table,Living Room Furniture,149.99,2021-11-12T06:01:15.000-06:00,Eva Garcia,Germany,Cologne,HomeHavenFurniture.com,CODE000000000100,Y,SUCCESS
149,3,7,Wooden Coffee Table,Living Room Furniture,149.99,2020-01-08T20:24:17.000-06:00,Catherine Lee,Canada,Toronto,ChicSpaceFurnishings.com,CODE000000000149,Y,SUCCESS
181,8,7,Wooden Coffee Table,Living Room Furniture,149.99,2020-04-26T17:27:07.000-05:00,Harry Martinez,Canada,Vancouver,ChicSpaceFurnishings.com,CODE000000000181,N,Insufficient Funds
193,14,7,Wooden Coffee Table,Living Room Furniture,149.99,2021-12-27T03:36:26.000-06:00,Nathan King,Canada,Calgary,HomeHavenFurniture.com,CODE000000000193,N,Insufficient Funds
206,17,7,Wooden Coffee Table,Living Room Furniture,149.99,2020-01-05T09:54:28.000-06:00,Quinn Baker,Australia,Perth,StyleNestFurniture.com,CODE000000000206,N,Insufficient Funds
208,10,7,Wooden Coffee Table,Living Room Furniture,149.99,2021-12-27T08:43:22.000-06:00,Jack Lewis,Australia,Perth,ChicSpaceFurnishings.com,CODE000000000208,Y,SUCCESS
238,6,7,Wooden Coffee Table,Living Room Furniture,149.99,2021-01-29T11:41:19.000-06:00,Frank Wilson,Canada,Calgary,ChicSpaceFurnishings.com,CODE000000000238,N,Insufficient Funds
241,12,7,Wooden Coffee Table,Living Room Furniture,149.99,2021-12-09T13:33:50.000-06:00,Liam Walker,Australia,Adelaide,CozyCornerDecor.com,CODE000000000241,Y,SUCCESS
246,1,7,Wooden Coffee Table,Living Room Furniture,149.99,2020-09-19T20:24:56.000-05:00,Alice Johnson,USA,Phoenix,StyleNestFurniture.com,CODE000000000246,N,Insufficient Funds
262,16,7,Wooden Coffee Table,Living Room Furniture,149.99,2021-12-07T19:09:24.000-06:00,Peter Adams,Australia,Perth,CozyCornerDecor.com,CODE000000000262,Y,SUCCESS
269,11,7,Wooden Coffee Table,Living Room Furniture,149.99,2021-01-18T03:40:03.000-06:00,Karen Young,Germany,Frankfurt,StyleNestFurniture.com,CODE000000000269,N,Network Error
288,15,7,Wooden Coffee Table,Living Room Furniture,149.99,2021-06-23T08:22:34.000-05:00,Olivia Scott,Canada,Calgary,StyleNestFurniture.com,CODE000000000288,N,Network Error
291,10,7,Wooden Coffee Table,Living Room Furniture,149.99,2020-05-02T01:47:35.000-05:00,Jack Lewis,Australia,Perth,CozyCornerDecor.com,CODE000000000291,Y,SUCCESS
294,19,7,Wooden Coffee Table,Living Room Furniture,149.99,2021-02-28T04:07:44.000-06:00,Sam Phillips,Canada,Montreal,ChicSpaceFurnishings.com,CODE000000000294,Y,SUCCESS
307,20,7,Wooden Coffee Table,Living Room Furniture,149.99,2020-09-09T21:03:29.000-05:00,Tina Rodriguez,USA,Chicago,ChicSpaceFurnishings.com,CODE000000000307,Y,SUCCESS
355,4,7,Wooden Coffee Table,Living Room Furniture,149.99,2020-02-13T08:18:02.000-06:00,Daniel Brown,Australia,Melbourne,CozyCornerDecor.com,CODE000000000355,Y,SUCCESS
387,15,7,Wooden Coffee Table,Living Room Furniture,149.99,2020-03-17T11:40:05.000-05:00,Olivia Scott,Canada,Calgary,StyleNestFurniture.com,CODE000000000387,Y,SUCCESS
401,2,7,Wooden Coffee Table,Living Room Furniture,149.99,2020-10-09T18:08:14.000-05:00,Bob Smith,USA,Los Angeles,StyleNestFurniture.com,CODE000000000401,Y,SUCCESS
425,1,7,Wooden Coffee Table,Living Room Furniture,149.99,2020-12-04T07:06:51.000-06:00,Alice Johnson,USA,Phoenix,HomeHavenFurniture.com,CODE000000000425,N,Network Error
466,1,7,Wooden Coffee Table,Living Room Furniture,149.99,2020-08-27T11:21:57.000-05:00,Alice Johnson,USA,Phoenix,TimelessHomeStyles.com,CODE000000000466,Y,SUCCESS
478,15,7,Wooden Coffee Table,Living Room Furniture,149.99,2021-02-10T03:30:52.000-06:00,Olivia Scott,Canada,Calgary,CozyCornerDecor.com,CODE000000000478,N,Network Error
486,2,7,Wooden Coffee Table,Living Room Furniture,149.99,2021-12-14T04:35:29.000-06:00,Bob Smith,USA,Los Angeles,StyleNestFurniture.com,CODE000000000486,Y,SUCCESS
492,7,7,Wooden Coffee Table,Living Room Furniture,149.99,2020-05-11T07:08:47.000-05:00,Grace Thompson,Germany,Frankfurt,StyleNestFurniture.com,CODE000000000492,N,Network Error
496,16,7,Wooden Coffee Table,Living Room Furniture,149.99,2020-05-16T20:23:06.000-05:00,Peter Adams,Australia,Perth,StyleNestFurniture.com,CODE000000000496,Y,SUCCESS
517,14,7,Wooden Coffee Table,Living Room Furniture,149.99,2020-01-30T20:47:31.000-06:00,Nathan King,Canada,Calgary,ChicSpaceFurnishings.com,CODE000000000517,Y,SUCCESS
539,10,7,Wooden Coffee Table,Living Room Furniture,149.99,2020-11-05T03:00:31.000-06:00,Jack Lewis,Australia,Perth,StyleNestFurniture.com,CODE000000000539,N,Network Error
604,16,7,Wooden Coffee Table,Living Room Furniture,149.99,2020-05-03T02:54:02.000-05:00,Peter Adams,Australia,Perth,ChicSpaceFurnishings.com,CODE000000000604,N,Network Error
615,5,7,Wooden Coffee Table,Living Room Furniture,149.99,2021-12-01T05:28:53.000-06:00,Eva Garcia,Germany,Cologne,ChicSpaceFurnishings.com,CODE000000000615,N,Insufficient Funds
618,18,7,Wooden Coffee Table,Living Room Furniture,149.99,2020-11-19T03:21:13.000-06:00,Rachel Evans,Germany,Munich,ChicSpaceFurnishings.com,CODE000000000618,Y,SUCCESS
22,1,6,Leather Dining Chair,Dining Room Furniture,89.99,2020-05-24T15:34:35.000-05:00,Alice Johnson,USA,Phoenix,StyleNestFurniture.com,CODE000000000022,N,Network Error
30,17,6,Leather Dining Chair,Dining Room Furniture,89.99,2021-03-01T07:56:54.000-06:00,Quinn Baker,Australia,Perth,StyleNestFurniture.com,CODE000000000030,Y,SUCCESS
55,17,6,Leather Dining Chair,Dining Room Furniture,89.99,2021-06-17T04:32:38.000-05:00,Quinn Baker,Australia,Perth,ChicSpaceFurnishings.com,CODE000000000055,N,Insufficient Funds
81,4,6,Leather Dining Chair,Dining Room Furniture,89.99,2020-11-08T16:59:10.000-06:00,Daniel Brown,Australia,Melbourne,ChicSpaceFurnishings.com,CODE000000000081,N,Network Error
110,12,6,Leather Dining Chair,Dining Room Furniture,89.99,2020-03-07T08:41:49.000-06:00,Liam Walker,Australia,Adelaide,HomeHavenFurniture.com,CODE000000000110,Y,SUCCESS
116,19,6,Leather Dining Chair,Dining Room Furniture,89.99,2020-12-31T00:29:42.000-06:00,Sam Phillips,Canada,Montreal,CozyCornerDecor.com,CODE000000000116,N,Network Error
139,16,6,Leather Dining Chair,Dining Room Furniture,89.99,2021-07-25T21:18:33.000-05:00,Peter Adams,Australia,Perth,ChicSpaceFurnishings.com,CODE000000000139,N,Insufficient Funds
180,6,6,Leather Dining Chair,Dining Room Furniture,89.99,2021-12-28T05:08:11.000-06:00,Frank Wilson,Canada,Calgary,ChicSpaceFurnishings.com,CODE000000000180,N,Insufficient Funds
186,14,6,Leather Dining Chair,Dining Room Furniture,89.99,2021-08-09T04:52:52.000-05:00,Nathan King,Canada,Calgary,HomeHavenFurniture.com,CODE000000000186,N,Insufficient Funds
217,15,6,Leather Dining Chair,Dining Room Furniture,89.99,2020-12-06T02:29:55.000-06:00,Olivia Scott,Canada,Calgary,ChicSpaceFurnishings.com,CODE000000000217,Y,SUCCESS
254,15,6,Leather Dining Chair,Dining Room Furniture,89.99,2020-02-24T20:27:14.000-06:00,Olivia Scott,Canada,Calgary,ChicSpaceFurnishings.com,CODE000000000254,Y,SUCCESS
274,1,6,Leather Dining Chair,Dining Room Furniture,89.99,2020-09-14T05:02:19.000-05:00,Alice Johnson,USA,Phoenix,HomeHavenFurniture.com,CODE000000000274,N,Network Error
289,13,6,Leather Dining Chair,Dining Room Furniture,89.99,2021-08-13T11:45:27.000-05:00,Mona Hall,Germany,Berlin,TimelessHomeStyles.com,CODE000000000289,N,Network Error
313,17,6,Leather Dining Chair,Dining Room Furniture,89.99,2020-11-01T13:01:52.000-06:00,Quinn Baker,Australia,Perth,CozyCornerDecor.com,CODE000000000313,N,Network Error
351,12,6,Leather Dining Chair,Dining Room Furniture,89.99,2021-10-20T06:53:13.000-05:00,Liam Walker,Australia,Adelaide,CozyCornerDecor.com,CODE000000000351,N,Network Error
358,13,6,Leather Dining Chair,Dining Room Furniture,89.99,2020-09-01T04:07:42.000-05:00,Mona Hall,Germany,Berlin,CozyCornerDecor.com,CODE000000000358,N,Network Error
403,6,6,Leather Dining Chair,Dining Room Furniture,89.99,2020-07-30T04:23:37.000-05:00,Frank Wilson,Canada,Calgary,HomeHavenFurniture.com,CODE000000000403,Y,SUCCESS
416,13,6,Leather Dining Chair,Dining Room Furniture,89.99,2021-11-27T01:56:08.000-06:00,Mona Hall,Germany,Berlin,HomeHavenFurniture.com,CODE000000000416,N,Network Error
417,20,6,Leather Dining Chair,Dining Room Furniture,89.99,2020-06-09T13:25:13.000-05:00,Tina Rodriguez,USA,Chicago,HomeHavenFurniture.com,CODE000000000417,N,Insufficient Funds
463,3,6,Leather Dining Chair,Dining Room Furniture,89.99,2020-03-21T09:56:39.000-05:00,Catherine Lee,Canada,Toronto,HomeHavenFurniture.com,CODE000000000463,N,Insufficient Funds
474,4,6,Leather Dining Chair,Dining Room Furniture,89.99,2021-04-03T11:10:05.000-05:00,Daniel Brown,Australia,Melbourne,StyleNestFurniture.com,CODE000000000474,Y,SUCCESS
479,17,6,Leather Dining Chair,Dining Room Furniture,89.99,2020-12-28T03:29:10.000-06:00,Quinn Baker,Australia,Perth,StyleNestFurniture.com,CODE000000000479,N,Network Error
538,20,6,Leather Dining Chair,Dining Room Furniture,89.99,2021-01-19T02:10:49.000-06:00,Tina Rodriguez,USA,Chicago,StyleNestFurniture.com,CODE000000000538,N,Insufficient Funds
554,15,6,Leather Dining Chair,Dining Room Furniture,89.99,2021-01-29T15:41:16.000-06:00,Olivia Scott,Canada,Calgary,StyleNestFurniture.com,CODE000000000554,N,Network Error
592,19,6,Leather Dining Chair,Dining Room Furniture,89.99,2020-06-10T10:30:10.000-05:00,Sam Phillips,Canada,Montreal,ChicSpaceFurnishings.com,CODE000000000592,N,Insufficient Funds
9,16,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-06-26T04:27:52.000-05:00,Peter Adams,Australia,Perth,ChicSpaceFurnishings.com,CODE000000000009,N,Network Error
34,5,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-11-17T23:20:50.000-06:00,Eva Garcia,Germany,Cologne,StyleNestFurniture.com,CODE000000000034,N,Network Error
35,19,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-11-12T01:43:42.000-06:00,Sam Phillips,Canada,Montreal,StyleNestFurniture.com,CODE000000000035,Y,SUCCESS
42,17,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-04-07T17:00:51.000-05:00,Quinn Baker,Australia,Perth,ChicSpaceFurnishings.com,CODE000000000042,Y,SUCCESS
78,19,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-03-22T03:11:59.000-05:00,Sam Phillips,Canada,Montreal,ChicSpaceFurnishings.com,CODE000000000078,Y,SUCCESS
89,3,9,Ergonomic Office Chair,Home Office Furniture,129.99,2021-08-20T02:25:46.000-05:00,Catherine Lee,Canada,Toronto,HomeHavenFurniture.com,CODE000000000089,N,Insufficient Funds
154,18,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-01-14T18:21:12.000-06:00,Rachel Evans,Germany,Munich,CozyCornerDecor.com,CODE000000000154,Y,SUCCESS
163,16,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-11-27T21:42:35.000-06:00,Peter Adams,Australia,Perth,StyleNestFurniture.com,CODE000000000163,N,Network Error
173,11,9,Ergonomic Office Chair,Home Office Furniture,129.99,2021-04-28T07:46:49.000-05:00,Karen Young,Germany,Frankfurt,ChicSpaceFurnishings.com,CODE000000000173,N,Network Error
174,6,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-10-16T09:14:48.000-05:00,Frank Wilson,Canada,Calgary,ChicSpaceFurnishings.com,CODE000000000174,Y,SUCCESS
183,9,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-06-12T20:16:38.000-05:00,Ivy Clark,Australia,Melbourne,ChicSpaceFurnishings.com,CODE000000000183,Y,SUCCESS
204,15,9,Ergonomic Office Chair,Home Office Furniture,129.99,2021-11-04T07:12:36.000-05:00,Olivia Scott,Canada,Calgary,HomeHavenFurniture.com,CODE000000000204,N,Network Error
222,1,9,Ergonomic Office Chair,Home Office Furniture,129.99,2021-01-27T20:43:37.000-06:00,Alice Johnson,USA,Phoenix,StyleNestFurniture.com,CODE000000000222,N,Network Error
223,14,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-03-05T18:09:51.000-06:00,Nathan King,Canada,Calgary,HomeHavenFurniture.com,CODE000000000223,Y,SUCCESS
300,4,9,Ergonomic Office Chair,Home Office Furniture,129.99,2021-02-16T03:41:50.000-06:00,Daniel Brown,Australia,Melbourne,ChicSpaceFurnishings.com,CODE000000000300,Y,SUCCESS
301,5,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-10-12T08:04:48.000-05:00,Eva Garcia,Germany,Cologne,StyleNestFurniture.com,CODE000000000301,Y,SUCCESS
309,18,9,Ergonomic Office Chair,Home Office Furniture,129.99,2021-12-05T07:22:18.000-06:00,Rachel Evans,Germany,Munich,HomeHavenFurniture.com,CODE000000000309,N,Insufficient Funds
312,7,9,Ergonomic Office Chair,Home Office Furniture,129.99,2021-11-22T22:31:55.000-06:00,Grace Thompson,Germany,Frankfurt,CozyCornerDecor.com,CODE000000000312,N,Insufficient Funds
352,17,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-09-12T15:54:49.000-05:00,Quinn Baker,Australia,Perth,ChicSpaceFurnishings.com,CODE000000000352,N,Network Error
353,8,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-09-26T20:36:54.000-05:00,Harry Martinez,Canada,Vancouver,StyleNestFurniture.com,CODE000000000353,N,Network Error
363,5,9,Ergonomic Office Chair,Home Office Furniture,129.99,2021-01-07T04:14:37.000-06:00,Eva Garcia,Germany,Cologne,StyleNestFurniture.com,CODE000000000363,N,Network Error
374,18,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-05-18T23:06:27.000-05:00,Rachel Evans,Germany,Munich,HomeHavenFurniture.com,CODE000000000374,Y,SUCCESS
441,19,9,Ergonomic Office Chair,Home Office Furniture,129.99,2021-09-13T08:52:53.000-05:00,Sam Phillips,Canada,Montreal,CozyCornerDecor.com,CODE000000000441,N,Insufficient Funds
471,19,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-09-17T08:27:32.000-05:00,Sam Phillips,Canada,Montreal,HomeHavenFurniture.com,CODE000000000471,N,Insufficient Funds
514,19,9,Ergonomic Office Chair,Home Office Furniture,129.99,2021-01-07T22:59:06.000-06:00,Sam Phillips,Canada,Montreal,HomeHavenFurniture.com,CODE000000000514,N,Network Error
530,7,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-05-07T23:49:07.000-05:00,Grace Thompson,Germany,Frankfurt,HomeHavenFurniture.com,CODE000000000530,Y,SUCCESS
562,17,9,Ergonomic Office Chair,Home Office Furniture,129.99,2021-08-16T08:10:51.000-05:00,Quinn Baker,Australia,Perth,StyleNestFurniture.com,CODE000000000562,Y,SUCCESS
599,13,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-09-25T11:44:10.000-05:00,Mona Hall,Germany,Berlin,ChicSpaceFurnishings.com,CODE000000000599,N,Insufficient Funds
601,5,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-03-24T20:48:07.000-05:00,Eva Garcia,Germany,Cologne,HomeHavenFurniture.com,CODE000000000601,N,Insufficient Funds
614,4,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-07-07T18:48:17.000-05:00,Daniel Brown,Australia,Melbourne,ChicSpaceFurnishings.com,CODE000000000614,N,Insufficient Funds
621,10,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-09-27T09:32:59.000-05:00,Jack Lewis,Australia,Perth,StyleNestFurniture.com,CODE000000000621,Y,SUCCESS
623,17,9,Ergonomic Office Chair,Home Office Furniture,129.99,2020-07-26T08:07:17.000-05:00,Quinn Baker,Australia,Perth,ChicSpaceFurnishings.com,CODE000000000623,Y,SUCCESS
6,17,17,Kids Bunk Bed,Kids Furniture,249.99,2020-12-21T04:38:04.000-06:00,Quinn Baker,Australia,Perth,StyleNestFurniture.com,CODE000000000006,Y,SUCCESS
26,7,17,Kids Bunk Bed,Kids Furniture,249.99,2020-07-29T22:36:33.000-05:00,Grace Thompson,Germany,Frankfurt,HomeHavenFurniture.com,CODE000000000026,Y,SUCCESS
66,9,17,Kids Bunk Bed,Kids Furniture,249.99,2020-09-24T08:15:48.000-05:00,Ivy Clark,Australia,Melbourne,CozyCornerDecor.com,CODE000000000066,N,Insufficient Funds
85,15,17,Kids Bunk Bed,Kids Furniture,249.99,2020-01-01T11:11:06.000-06:00,Olivia Scott,Canada,Calgary,HomeHavenFurniture.com,CODE000000000085,N,Network Error
138,9,17,Kids Bunk Bed,Kids Furniture,249.99,2021-01-20T00:31:26.000-06:00,Ivy Clark,Australia,Melbourne,ChicSpaceFurnishings.com,CODE000000000138,Y,SUCCESS
143,14,17,Kids Bunk Bed,Kids Furniture,249.99,2021-07-05T00:56:22.000-05:00,Nathan King,Canada,Calgary,StyleNestFurniture.com,CODE000000000143,N,Network Error
160,16,17,Kids Bunk Bed,Kids Furniture,249.99,2021-12-09T21:49:05.000-06:00,Peter Adams,Australia,Perth,HomeHavenFurniture.com,CODE000000000160,Y,SUCCESS
199,17,17,Kids Bunk Bed,Kids Furniture,249.99,2020-09-12T06:38:13.000-05:00,Quinn Baker,Australia,Perth,HomeHavenFurniture.com,CODE000000000199,Y,SUCCESS
226,9,17,Kids Bunk Bed,Kids Furniture,249.99,2020-04-21T14:52:26.000-05:00,Ivy Clark,Australia,Melbourne,HomeHavenFurniture.com,CODE000000000226,N,Network Error
255,9,17,Kids Bunk Bed,Kids Furniture,249.99,2020-06-05T05:52:53.000-05:00,Ivy Clark,Australia,Melbourne,ChicSpaceFurnishings.com,CODE000000000255,N,Insufficient Funds
280,3,17,Kids Bunk Bed,Kids Furniture,249.99,2021-10-17T07:16:16.000-05:00,Catherine Lee,Canada,Toronto,StyleNestFurniture.com,CODE000000000280,N,Network Error
321,8,17,Kids Bunk Bed,Kids Furniture,249.99,2021-05-28T05:15:36.000-05:00,Harry Martinez,Canada,Vancouver,StyleNestFurniture.com,CODE000000000321,N,Insufficient Funds
364,18,17,Kids Bunk Bed,Kids Furniture,249.99,2021-12-24T10:57:49.000-06:00,Rachel Evans,Germany,Munich,ChicSpaceFurnishings.com,CODE000000000364,N,Network Error
377,7,17,Kids Bunk Bed,Kids Furniture,249.99,2021-10-16T07:35:13.000-05:00,Grace Thompson,Germany,Frankfurt,HomeHavenFurniture.com,CODE000000000377,Y,SUCCESS
409,19,17,Kids Bunk Bed,Kids Furniture,249.99,2021-04-16T11:19:14.000-05:00,Sam Phillips,Canada,Montreal,ChicSpaceFurnishings.com,CODE000000000409,N,Insufficient Funds
437,20,17,Kids Bunk Bed,Kids Furniture,249.99,2020-09-09T11:13:44.000-05:00,Tina Rodriguez,USA,Chicago,ChicSpaceFurnishings.com,CODE000000000437,N,Network Error
448,5,17,Kids Bunk Bed,Kids Furniture,249.99,2020-04-10T09:21:31.000-05:00,Eva Garcia,Germany,Cologne,HomeHavenFurniture.com,CODE000000000448,N,Insufficient Funds
462,3,17,Kids Bunk Bed,Kids Furniture,249.99,2021-07-10T10:31:53.000-05:00,Catherine Lee,Canada,Toronto,StyleNestFurniture.com,CODE000000000462,N,Network Error
469,4,17,Kids Bunk Bed,Kids Furniture,249.99,2020-12-25T04:50:11.000-06:00,Daniel Brown,Australia,Melbourne,ChicSpaceFurnishings.com,CODE000000000469,N,Insufficient Funds
481,8,17,Kids Bunk Bed,Kids Furniture,249.99,2020-05-15T00:51:04.000-05:00,Harry Martinez,Canada,Vancouver,ChicSpaceFurnishings.com,CODE000000000481,Y,SUCCESS
489,8,17,Kids Bunk Bed,Kids Furniture,249.99,2020-08-16T19:47:09.000-05:00,Harry Martinez,Canada,Vancouver,HomeHavenFurniture.com,CODE000000000489,Y,SUCCESS
504,16,17,Kids Bunk Bed,Kids Furniture,249.99,2021-06-26T00:54:36.000-05:00,Peter Adams,Australia,Perth,StyleNestFurniture.com,CODE000000000504,N,Network Error
508,6,17,Kids Bunk Bed,Kids Furniture,249.99,2020-08-17T04:06:43.000-05:00,Frank Wilson,Canada,Calgary,CozyCornerDecor.com,CODE000000000508,Y,SUCCESS
509,18,17,Kids Bunk Bed,Kids Furniture,249.99,2020-02-04T06:35:49.000-06:00,Rachel Evans,Germany,Munich,HomeHavenFurniture.com,CODE000000000509,N,Network Error
520,15,17,Kids Bunk Bed,Kids Furniture,249.99,2021-03-10T11:31:52.000-06:00,Olivia Scott,Canada,Calgary,StyleNestFurniture.com,CODE000000000520,Y,SUCCESS
526,1,17,Kids Bunk Bed,Kids Furniture,249.99,2021-02-04T01:35:58.000-06:00,Alice Johnson,USA,Phoenix,StyleNestFurniture.com,CODE000000000526,Y,SUCCESS
